ms,ax,ay,az,t_chip
1225,0.000,0.000,1.650,38.00
1277,0.000,0.000,1.650,38.00
1297,0.000,0.000,1.650,38.00
1317,0.000,0.000,1.650,38.00
1337,0.000,0.000,1.650,38.00
1357,0.000,0.000,1.650,38.00
1377,0.000,0.000,1.650,38.00
1397,0.000,0.000,1.650,38.00
1417,0.000,0.000,1.650,38.00
1437,0.000,0.000,1.650,38.00
1457,0.000,0.000,1.650,38.00
1477,0.000,0.000,1.650,38.00
1497,0.000,0.000,1.650,38.00
1517,0.000,0.000,1.650,38.00
1537,0.000,0.000,1.650,38.00
1557,0.000,0.000,1.650,38.00
1577,0.000,0.000,1.650,38.00
1597,0.000,0.000,1.650,38.00
1617,0.000,0.000,1.650,38.00
1637,0.000,0.000,1.650,38.00
1657,0.000,0.000,1.650,38.00
1677,0.000,0.000,1.650,38.00
1697,0.000,0.000,1.650,38.00
1717,0.000,0.000,1.650,38.00
1766,0.000,0.000,1.650,38.00
1786,0.000,0.000,1.650,38.00
1806,0.000,0.000,1.650,38.00
1826,0.000,0.000,1.650,38.00
1846,0.000,0.000,1.650,38.00
1866,0.000,0.000,1.650,38.00
1886,0.000,0.000,1.650,38.00
1906,0.000,0.000,1.650,38.00
1926,0.000,0.000,1.650,38.00
1946,0.000,0.000,1.650,38.00
1966,0.000,0.000,1.650,38.00
1986,0.000,0.000,1.650,38.00
2006,0.000,0.000,1.650,38.00
2026,0.000,0.000,1.650,38.00
2046,0.000,0.000,1.650,38.00
2066,0.000,0.000,1.650,38.00
2086,0.000,0.000,1.650,38.00
2106,0.000,0.000,1.650,38.00
2126,0.000,0.000,1.650,38.00
2146,0.000,0.000,1.650,38.00
2166,0.000,0.000,1.650,38.00
2186,0.000,0.000,1.650,38.00
2206,0.000,0.000,1.650,38.00
2287,0.000,0.000,1.650,38.00
2307,0.000,0.000,1.650,38.00
2327,0.000,0.000,1.650,38.00
2347,0.000,0.000,1.650,38.00
2367,0.000,0.000,1.650,38.00
2387,0.000,0.000,1.650,38.00
2407,0.000,0.000,1.650,38.00
2427,0.000,0.000,1.650,38.00
2447,0.000,0.000,1.650,38.00
2467,0.000,0.000,1.650,38.00
2487,0.000,0.000,1.650,38.00
2507,0.000,0.000,1.650,38.00
2527,0.000,0.000,1.650,38.00
2547,0.000,0.000,1.650,38.00
2567,0.000,0.000,1.650,38.00
2587,0.000,0.000,1.650,38.00
2607,0.000,0.000,1.650,38.00
2627,0.000,0.000,1.650,38.00
2647,0.000,0.000,1.650,38.00
2667,0.000,0.000,1.650,38.00
2687,0.000,0.000,1.650,38.00
2707,0.000,0.000,1.650,38.00
2766,0.000,0.000,1.650,38.00
2786,0.000,0.000,1.650,38.00
2806,0.000,0.000,1.650,38.00
2826,0.000,0.000,1.650,38.00
2846,0.000,0.000,1.650,38.00
2866,0.000,0.000,1.650,38.00
2886,0.000,0.000,1.650,38.00
2906,0.000,0.000,1.650,38.00
2926,0.000,0.000,1.650,38.00
2946,0.000,0.000,1.650,38.00
2966,0.000,0.000,1.650,38.00
2986,0.000,0.000,1.650,38.00
3006,0.000,0.000,1.650,38.00
3026,0.000,0.000,1.650,38.00
3046,0.000,0.000,1.650,38.00
3066,0.000,0.000,1.650,38.00
3086,0.000,0.000,1.650,38.00
3106,0.000,0.000,1.650,38.00
3126,0.000,0.000,1.650,38.00
3146,0.000,0.000,1.650,38.00
3166,0.000,0.000,1.650,38.00
3186,0.000,0.000,1.650,38.00
3206,0.000,0.000,1.650,38.00
3289,0.000,0.000,1.650,38.00
3309,0.000,0.000,1.650,38.00
3329,0.000,0.000,1.650,38.00
3349,0.000,0.000,1.650,38.00
3369,0.000,0.000,1.650,38.00
3389,0.000,0.000,1.650,38.00
3409,0.000,0.000,1.650,38.00
3429,0.000,0.000,1.650,38.00
3449,0.000,0.000,1.650,38.00
3469,0.000,0.000,1.650,38.00
3489,0.000,0.000,1.650,38.00
3509,0.000,0.000,1.650,38.00
3529,0.000,0.000,1.650,38.00
3549,0.000,0.000,1.650,38.00
3569,0.000,0.000,1.650,38.00
3589,0.000,0.000,1.650,38.00
3609,0.000,0.000,1.650,38.00
3629,0.000,0.000,1.650,38.00
3649,0.000,0.000,1.650,38.00
3669,0.000,0.000,1.650,38.00
3689,0.000,0.000,1.650,38.00
3709,0.000,0.000,1.650,38.00
3766,0.000,0.000,1.650,38.00
3786,0.000,0.000,1.650,38.00
3806,0.000,0.000,1.650,38.00
3826,0.000,0.000,1.650,38.00
3846,0.000,0.000,1.650,38.00
3866,0.000,0.000,1.650,38.00
3886,0.000,0.000,1.650,38.00
3906,0.000,0.000,1.650,38.00
3926,0.000,0.000,1.650,38.00
3946,0.000,0.000,1.650,38.00
3966,0.000,0.000,1.650,38.00
3986,0.000,0.000,1.650,38.00
4006,0.000,0.000,1.650,38.00
